step,E_pot_J,E_curv_J,E_phi_kin_J,E_omega_kin_J,E_total_J
0,6.043233e-11,4.024507e-10,0.000000e+00,0.000000e+00,4.628830e-10
50,5.999069e-11,4.024507e-10,9.808760e-14,4.423241e-10,9.048636e-10
100,5.954743e-11,4.024507e-10,9.126804e-14,4.439531e-10,9.060424e-10
150,5.910255e-11,4.024507e-10,8.477982e-14,4.456008e-10,9.072388e-10
200,5.865601e-11,4.024507e-10,7.861490e-14,4.472673e-10,9.084526e-10
250,5.820780e-11,4.024507e-10,7.276511e-14,4.489527e-10,9.096839e-10
300,5.775790e-11,4.024507e-10,6.722219e-14,4.506568e-10,9.109326e-10
350,5.730629e-11,4.024507e-10,6.197778e-14,4.523798e-10,9.121987e-10
400,5.685296e-11,4.024507e-10,5.702342e-14,4.541215e-10,9.134822e-10
450,5.639788e-11,4.024507e-10,5.235059e-14,4.558820e-10,9.147829e-10
500,5.594103e-11,4.024507e-10,4.795068e-14,4.576613e-10,9.161009e-10
550,5.548240e-11,4.024507e-10,4.381506e-14,4.594592e-10,9.174361e-10
600,5.502196e-11,4.024507e-10,3.993499e-14,4.612758e-10,9.187884e-10
650,5.455971e-11,4.024507e-10,3.630173e-14,4.631111e-10,9.201578e-10
700,5.409561e-11,4.024507e-10,3.290651e-14,4.649650e-10,9.215442e-10
750,5.362965e-11,4.024507e-10,2.974052e-14,4.668374e-10,9.229475e-10
800,5.316181e-11,4.024507e-10,2.679494e-14,4.687283e-10,9.243676e-10
850,5.269207e-11,4.024507e-10,2.406096e-14,4.706377e-10,9.258045e-10
900,5.222042e-11,4.024507e-10,2.152979e-14,4.725654e-10,9.272580e-10
950,5.174684e-11,4.024507e-10,1.919264e-14,4.745114e-10,9.287281e-10
1000,5.127130e-11,4.024507e-10,1.704077e-14,4.764756e-10,9.302146e-10
1050,5.079379e-11,4.024507e-10,1.506548e-14,4.784580e-10,9.317175e-10
1100,5.031429e-11,4.024507e-10,1.325812e-14,4.804584e-10,9.332366e-10
1150,4.983278e-11,4.024507e-10,1.161011e-14,4.824768e-10,9.347718e-10
1200,4.934924e-11,4.024507e-10,1.011297e-14,4.845130e-10,9.363230e-10
1250,4.886366e-11,4.024507e-10,8.758291e-15,4.865669e-10,9.378900e-10
1300,4.837602e-11,4.024507e-10,7.537775e-15,4.886385e-10,9.394727e-10
1350,4.788630e-11,4.024507e-10,6.443246e-15,4.907275e-10,9.410709e-10
1400,4.739449e-11,4.024507e-10,5.466653e-15,4.928339e-10,9.426845e-10
1450,4.690056e-11,4.024507e-10,4.600091e-15,4.949575e-10,9.443134e-10
1500,4.640449e-11,4.024507e-10,3.835811e-15,4.970983e-10,9.459573e-10
1550,4.590628e-11,4.024507e-10,3.166232e-15,4.992559e-10,9.476160e-10
1600,4.540590e-11,4.024507e-10,2.583955e-15,5.014303e-10,9.492895e-10
1650,4.490334e-11,4.024507e-10,2.081776e-15,5.036213e-10,9.509774e-10
1700,4.439859e-11,4.024507e-10,1.652698e-15,5.058287e-10,9.526796e-10
1750,4.389161e-11,4.024507e-10,1.289948e-15,5.080524e-10,9.543960e-10
1800,4.338241e-11,4.024507e-10,9.869830e-16,5.102921e-10,9.561262e-10
1850,4.287095e-11,4.024507e-10,7.375104e-16,5.125477e-10,9.578700e-10
1900,4.235724e-11,4.024507e-10,5.354966e-16,5.148189e-10,9.596273e-10
1950,4.184124e-11,4.024507e-10,3.751816e-16,5.171055e-10,9.613978e-10
2000,4.132295e-11,4.024507e-10,2.510916e-16,5.194073e-10,9.631812e-10
2050,4.080235e-11,4.024507e-10,1.580517e-16,5.217241e-10,9.649773e-10
2100,4.027943e-11,4.024507e-10,9.119878e-17,5.240557e-10,9.667859e-10
2150,3.975416e-11,4.024507e-10,4.599396e-17,5.264017e-10,9.686066e-10
2200,3.922655e-11,4.024507e-10,1.823490e-17,5.287619e-10,9.704392e-10
2250,3.869656e-11,4.024507e-10,4.068064e-18,5.311361e-10,9.722834e-10
2300,3.816420e-11,4.024507e-10,5.784577e-22,5.335240e-10,9.741389e-10
2350,3.762944e-11,4.024507e-10,2.911996e-18,5.359252e-10,9.760054e-10
2400,3.709227e-11,4.024507e-10,1.006569e-17,5.383396e-10,9.778826e-10
2450,3.655268e-11,4.024507e-10,1.911996e-17,5.407668e-10,9.797702e-10
2500,3.601066e-11,4.024507e-10,2.813888e-17,5.432064e-10,9.816678e-10
2550,3.546619e-11,4.024507e-10,3.560267e-17,5.456582e-10,9.835752e-10
2600,3.491927e-11,4.024507e-10,4.041780e-17,5.481219e-10,9.854919e-10
2650,3.441392e-11,4.024507e-10,4.193008e-17,5.504751e-10,9.873398e-10
2700,3.441392e-11,4.024507e-10,4.183596e-17,5.504752e-10,9.873398e-10
2750,3.441393e-11,4.024507e-10,4.174205e-17,5.504752e-10,9.873399e-10
2800,3.441394e-11,4.024507e-10,4.164836e-17,5.504752e-10,9.873399e-10
2850,3.441394e-11,4.024507e-10,4.155487e-17,5.504753e-10,9.873399e-10
2900,3.441395e-11,4.024507e-10,4.146160e-17,5.504753e-10,9.873400e-10
2950,3.441396e-11,4.024507e-10,4.136853e-17,5.504753e-10,9.873400e-10
3000,3.441396e-11,4.024507e-10,4.127568e-17,5.504754e-10,9.873400e-10
3050,3.441397e-11,4.024507e-10,4.118302e-17,5.504754e-10,9.873401e-10
3100,3.441398e-11,4.024507e-10,4.109058e-17,5.504754e-10,9.873401e-10
3150,3.441398e-11,4.024507e-10,4.099835e-17,5.504754e-10,9.873402e-10
3200,3.441399e-11,4.024507e-10,4.090632e-17,5.504755e-10,9.873402e-10
3250,3.441400e-11,4.024507e-10,4.081450e-17,5.504755e-10,9.873402e-10
3300,3.441400e-11,4.024507e-10,4.072289e-17,5.504755e-10,9.873403e-10
3350,3.441401e-11,4.024507e-10,4.063148e-17,5.504756e-10,9.873403e-10
3400,3.441402e-11,4.024507e-10,4.054028e-17,5.504756e-10,9.873403e-10
3450,3.441402e-11,4.024507e-10,4.044928e-17,5.504756e-10,9.873404e-10
3500,3.441403e-11,4.024507e-10,4.035848e-17,5.504757e-10,9.873404e-10
3550,3.441404e-11,4.024507e-10,4.026789e-17,5.504757e-10,9.873405e-10
3600,3.441405e-11,4.024507e-10,4.017750e-17,5.504757e-10,9.873405e-10
3650,3.441405e-11,4.024507e-10,4.008731e-17,5.504758e-10,9.873405e-10
3700,3.441406e-11,4.024507e-10,3.999733e-17,5.504758e-10,9.873406e-10
3750,3.441407e-11,4.024507e-10,3.990755e-17,5.504758e-10,9.873406e-10
3800,3.441407e-11,4.024507e-10,3.981797e-17,5.504759e-10,9.873407e-10
3850,3.441408e-11,4.024507e-10,3.972859e-17,5.504759e-10,9.873407e-10
3900,3.441409e-11,4.024507e-10,3.963941e-17,5.504759e-10,9.873407e-10
3950,3.441409e-11,4.024507e-10,3.955043e-17,5.504760e-10,9.873408e-10
4000,3.441410e-11,4.024507e-10,3.946165e-17,5.504760e-10,9.873408e-10
4050,3.441411e-11,4.024507e-10,3.937307e-17,5.504760e-10,9.873408e-10
4100,3.441412e-11,4.024507e-10,3.928469e-17,5.504761e-10,9.873409e-10
4150,3.441412e-11,4.024507e-10,3.919651e-17,5.504761e-10,9.873409e-10
4200,3.441413e-11,4.024507e-10,3.910852e-17,5.504761e-10,9.873410e-10
4250,3.441414e-11,4.024507e-10,3.902074e-17,5.504761e-10,9.873410e-10
4300,3.441414e-11,4.024507e-10,3.893315e-17,5.504762e-10,9.873410e-10
4350,3.441415e-11,4.024507e-10,3.884575e-17,5.504762e-10,9.873411e-10
4400,3.441416e-11,4.024507e-10,3.875855e-17,5.504762e-10,9.873411e-10
4450,3.441417e-11,4.024507e-10,3.867155e-17,5.504763e-10,9.873412e-10
4500,3.441417e-11,4.024507e-10,3.858474e-17,5.504763e-10,9.873412e-10
4550,3.441418e-11,4.024507e-10,3.849813e-17,5.504763e-10,9.873412e-10
4600,3.441419e-11,4.024507e-10,3.841171e-17,5.504764e-10,9.873413e-10
4650,3.441420e-11,4.024507e-10,3.832549e-17,5.504764e-10,9.873413e-10
4700,3.441420e-11,4.024507e-10,3.823946e-17,5.504764e-10,9.873414e-10
4750,3.441421e-11,4.024507e-10,3.815362e-17,5.504765e-10,9.873414e-10
4800,3.441422e-11,4.024507e-10,3.806797e-17,5.504765e-10,9.873414e-10
4850,3.441422e-11,4.024507e-10,3.798252e-17,5.504765e-10,9.873415e-10
4900,3.441423e-11,4.024507e-10,3.789726e-17,5.504766e-10,9.873415e-10
4950,3.441424e-11,4.024507e-10,3.781219e-17,5.504766e-10,9.873416e-10
5000,3.441425e-11,4.024507e-10,3.772731e-17,5.504766e-10,9.873416e-10
